climate action ,氣候行動
climate adaptation ,氣候調適
climate change ,氣候變遷
climate capitalism ,(書名)氣候資本主義
climate effect ,氣候影響
climate equity ,氣候公正
climate feedback ,氣候反饋
climate finance ,氣候融資
climate change financing ,氣候變遷融資
climate forcing ,氣候強迫
climate governance ,氣候管理
climate impact ,氣候影響
climate investment ,氣候投資
climate justice ,氣候正義
climate mitigation ,氣候緩和
climate model ,氣候模式
climate models ,氣候模式(複數)
climate modeling ,氣候模式
climate modelling ,氣候模式
climate policy ,氣候政策
climate policies ,氣候政策(複數)
climate risk ,氣候風險
climate risks ,氣候風險(複數)
climate services ,氣候服務(複數)
climate service ,氣候服務
climate prediction ,氣候預測
climate predictions ,氣候預測(複數)
climate signal ,氣候警告
climate signals ,氣候警告(複數)
climate tipping point ,氣候臨界點
climate variation ,氣候變異度
climate variations,氣候變異度(複數)
Green Climate Fund ,綠色氣候基金
regional climate ,地區性氣候
regional climates ,地區性氣候(複數)
urban climate ,城市氣候
urban climates,城市氣候(複數)
adaptive management,適應性管理
decision-making ,決策
disaster risk reduction ,降低災害風險
environmental education ,環境教育
sustainable development education ,永續發展教育
energy conservation ,能源保存
food chain ,食物鏈
food chains,食物鏈(複數)
land use,土地利用
small island developing states,小島嶼開發中國家
clean development mechanism ,清潔發展機制
glacier retreat,冰川消融
ice-ocean interaction ,冰與海的相互影響
ice-ocean interactions ,冰與海的相互影響(複數)
nitrogen cycle ,氮循環
nitrogen cycles ,氮循環(複數)
ocean acidification ,海洋酸化
radiative forcing ,輻射驅動力
sea ice ,海冰
sea level ,海平面
sea levels ,海平面(複數)
thermal expansion,熱膨脹
drug ,藥物、毒品
geomorphology,地形學
